generation,cross_entropy,validation_error
0,0.369,21.921
500,4.371,151.135
1000,0.097,86.568
1500,1.294,89.772
2000,0.661,35.377
2500,0.001,49.125
3000,5.264,46.448
3500,1.165,55.999
4000,0.068,34.007
4500,1.942,39.349
5000,0.122,34.383
5500,0.004,50.399
6000,0.042,34.523
6500,0.063,24.151
7000,0.557,16.254
7500,0.011,22.860
8000,0.000,26.120
8500,0.029,84.189
9000,0.000,15.461
9500,0.017,14.309
10000,0.000,18.424
10500,0.000,26.883
11000,0.001,26.054
11500,0.006,12.135
12000,0.044,26.913
12500,0.000,23.490
13000,0.000,19.292
13500,0.007,22.230
14000,0.000,17.230
14500,5.833,25.419
15000,0.006,6.265
15500,15.000,21.410
16000,0.088,19.857
16500,0.004,15.681
17000,0.041,25.853
17500,0.083,21.666
18000,0.000,21.172
18500,0.008,8.376
19000,0.016,23.026
19500,0.000,8.854
20000,0.027,16.469
20500,0.017,8.715
21000,0.001,12.294
21500,0.000,3.858
22000,0.002,9.613
22500,0.018,95.781
23000,0.000,75.239
23500,0.000,8.489
24000,0.102,88.769
24500,0.000,6.048
25000,0.001,15.677
25500,0.000,20.913
26000,0.038,12.939
26500,0.000,32.300
27000,1.135,7.964
27500,0.000,28.273
28000,0.000,18.690
28500,0.000,7.852
29000,0.002,196.536
29500,0.016,135.974
30000,0.000,23.946
30500,0.000,19.277
31000,15.000,59.647
31500,0.000,9.323
32000,0.002,8.214
32500,0.000,24.973
33000,0.098,14.842
33500,0.001,27.426
34000,0.000,18.158
34500,11.697,35.169
35000,0.000,97.821
35500,0.000,9.437
36000,0.001,34.440
36500,0.402,41.190
37000,0.000,13.675
37500,0.000,24.218
38000,0.000,34.362
38500,0.000,37.687
39000,15.000,7.139
39500,0.000,48.260
40000,0.000,30.888
40500,0.000,5.702
41000,0.000,22.394
41500,0.000,110.640
42000,0.000,76.025
42500,0.000,31.498
43000,0.013,5.786
43500,0.000,14.784
44000,0.000,11.659
44500,0.000,13.852
45000,0.000,70.231
45500,0.000,24.688
46000,0.000,19.897
46500,0.000,178.233
47000,0.000,448.531
47500,0.000,49.033
48000,0.000,41.261
48500,0.000,43.702
49000,15.000,153.793
49500,13.081,184.549
50000,0.000,192.402
50500,1.573,404.221
51000,0.000,316.226
51500,0.000,459.991
52000,15.000,498.112
52500,0.000,628.911
53000,0.000,505.057
53500,14.561,316.710
54000,0.000,523.768
54500,0.000,311.910
55000,0.000,269.276
55500,0.000,341.598
56000,0.000,410.723
56500,0.000,155.357
57000,0.000,120.911
57500,0.000,151.422
58000,13.857,140.187
58500,0.000,152.194
59000,15.000,171.928
59500,0.000,309.647
